kepid,kepoi_name,kepler_name,koi_disposition,koi_prad,koi_period,koi_impact,koi_duration,koi_depth,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,koi_prad_log
10275077,K04081.01,,FALSE POSITIVE,3.45,363.35755,0.0406,19.85,395.3,305.0,2.05,13.9,5086.0,3.89,1.783,292.27005,47.307362,14.661,1.4929040961781488
6592832,K04082.01,,FALSE POSITIVE,1.1,0.924821319,0.401,2.594,122.4,1963.0,3514.31,24.3,6135.0,4.455,0.974,287.47369,42.00375,15.293,0.7419373447293773
8524346,K04083.01,,FALSE POSITIVE,2.43,4.4697452,0.982,5.33,241.5,1248.0,574.11,33.8,6102.0,4.316,1.125,300.61877,44.594391,13.726,1.2325602611778486
3937814,K04084.01,Kepler-1549 b,CONFIRMED,2.68,214.881456,0.023,9.581,759.2,286.0,1.59,16.1,5323.0,4.378,0.995,286.05243,39.09605,15.188,1.3029127521808397
5551228,K04154.02,,FALSE POSITIVE,3.55,122.906853,0.974,15.97,819.7,338.0,3.08,19.9,5692.0,4.547,0.866,296.49731,40.765629,15.593,1.5151272329628591
5471271,K04155.01,,FALSE POSITIVE,0.8,12.422216754,0.056,6.5533,54.5,864.0,131.73,11.0,6231.0,4.424,1.084,297.60681,40.656479,13.598,0.5877866649021191
5881120,K04156.01,Kepler-1943 b,CONFIRMED,1.1,4.85018974,0.985,5.676,64.5,1098.0,344.04,15.8,6032.0,4.485,0.973,293.31827,41.116669,13.809,0.7419373447293773
3248696,K07651.01,,FALSE POSITIVE,2.53,383.43595,0.025,11.059,1228.0,214.0,0.5,14.1,5576.0,4.615,0.729,294.74246,38.301811,15.27,1.2612978709452054
4548098,K04157.01,Kepler-1982 b,CONFIRMED,0.77,3.82315697,0.064,2.388,47.2,1282.0,638.38,8.9,6202.0,4.422,1.122,287.41006,39.65868,12.692,0.5709795465857378
5306383,K04158.01,,FALSE POSITIVE,0.9,0.842336445,0.266,1.519,80.1,1941.0,3367.24,8.8,5765.0,4.415,0.998,299.12286,40.489071,13.319,0.6418538861723948
5446285,K00142.02,,FALSE POSITIVE,,339.42934084,,7.5,,,,,,,,291.14807,40.669399,13.113,
7021681,K00255.02,,CANDIDATE,0.75,13.6032081,0.777,2.592,180.5,397.0,5.85,9.4,3780.0,4.746,0.511,287.85812,42.542629,15.108,0.5596157879354227
5041847,K04085.01,,FALSE POSITIVE,36.84,0.914468919,1.271,2.695,3426.3,1884.0,2978.16,189.0,5762.0,4.415,0.989,298.91278,40.110851,14.582,3.6333667441836774
3836558,K04086.01,,FALSE POSITIVE,1.08,1.54039744,0.723,1.787,127.6,1520.0,1267.95,7.0,5649.0,4.421,0.884,286.99091,38.916222,14.608,0.7323678937132266
4770617,K02243.02,Kepler-1154 c,CONFIRMED,2.52,8.45805119,0.697,2.998,258.7,1117.0,367.05,18.3,6172.0,4.198,1.471,297.47711,39.877239,14.806,1.2584609896100056
6106282,K04087.01,Kepler-440 b,CONFIRMED,1.61,101.1107014,0.046,8.029,878.1,229.0,0.65,24.1,4133.0,4.705,0.561,285.34995,41.452209,15.134,0.959350221334602
4946584,K04088.01,,FALSE POSITIVE,49.37,0.907943645,1.356,1.9144,1028.9,2219.0,5715.61,53.7,6434.0,4.354,1.166,297.36047,40.056141,13.819,3.9193957597575593
6463499,K04163.01,,FALSE POSITIVE,7.13,94.446856,0.977,7.502,436.4,611.0,32.93,20.0,5780.0,3.729,2.478,297.49054,41.8326,13.939,2.0955609235597192
8254882,K04164.01,,FALSE POSITIVE,0.88,0.92565941,0.042,1.488,30.0,2383.0,7600.86,11.2,6058.0,4.135,1.612,298.38754,44.151962,12.6,0.6312717768418579
6042031,K04165.01,,FALSE POSITIVE,32.19,0.537110149,1.106,1.7976,92.0,3195.0,24545.75,41.1,5395.0,3.739,2.537,291.69067,41.332878,13.078,3.502248625731883
4078311,K04166.01,Kepler-1944 b,CONFIRMED,2.41,9.84262076,0.234,1.6018,626.4,801.0,97.62,16.8,5585.0,4.49,0.972,296.5105,39.173321,15.308,1.2267122912954254
5475735,K04167.01,,FALSE POSITIVE,0.78,2.99194823,0.71,4.39,99.6,1019.0,255.16,18.2,5269.0,4.62,0.727,298.57779,40.681438,14.395,0.5766133643039938
11709124,K00435.05,Kepler-154 c,CONFIRMED,3.05,62.3026877,0.712,7.509,859.3,454.0,10.05,45.0,5688.0,4.415,0.971,289.78052,49.89653,14.534,1.3987168811184478
9022166,K02175.02,Kepler-368 c,CONFIRMED,4.21,72.3826983,0.791,8.279,366.4,575.0,25.83,29.5,5508.0,3.897,1.988,291.88004,45.387932,12.848,1.6505798557652755
10075409,K04019.01,,FALSE POSITIVE,2.34,360.33012,0.3698,15.16,1022.0,200.0,0.38,12.2,5054.0,4.606,0.74,291.90503,47.094929,15.892,1.205970806988609
7038096,K04020.01,,FALSE POSITIVE,1.93,0.566803149,0.822,1.643,246.0,2380.0,7612.11,52.6,6147.0,4.435,1.096,293.18408,42.528019,14.65,1.0750024230289759
3345973,K07652.01,,FALSE POSITIVE,3.64,15.3466028,0.591,4.966,238.5,1194.0,480.12,13.0,6771.0,3.934,2.259,292.38293,38.40057,14.335,1.534714366238164
11967788,K04021.01,,CANDIDATE,1.53,7.23531329,0.326,3.338,112.2,1207.0,501.36,14.0,6422.0,4.219,1.421,294.03436,50.371651,13.166,0.9282193027394289
